file_name,number,case,state,notes
AVG_Reslice of nd762 crop.tif,762,Plst-1,GOOD,
SUM_Reslice of nd764 crop.tif,764,unknown,GOOD,
SUM_Reslice of nd766 crop.tif,766,unknown,GOOD,
SUM_Reslice of nd801 crop.tif,801,Nmy-2,GOOD,
SUM_Reslice of nd802 crop.tif,802,Nmy-2,GOOD,
SUM_Reslice of nd804 crop.tif,804,Nmy-2,GOOD,
SUM_Reslice of nd805 crop.tif,805,Nmy-2,GOOD,
SUM_Reslice of nd806 crop.tif,806,Nmy-2,BAD,
SUM_Reslice of nd807 crop.tif,807,Control,GOOD,
SUM_Reslice of nd808 crop.tif,808,Control,GOOD,
SUM_Reslice of nd809 crop.tif,809,Control,GOOD,
SUM_Reslice of nd810 crop.tif,810,Control,GOOD,
SUM_Reslice of nd811 crop.tif,811,Control,GOOD,
SUM_Reslice of nd812 crop.tif,812,Control,GOOD,
SUM_Reslice of nd813 crop.tif,813,Control,GOOD,
SUM_Reslice of nd814 crop.tif,814,Control,GOOD,
SUM_Reslice of nd816 crop.tif,816,unknown,GOOD,
SUM_Reslice of nd819 crop.tif,819,Plst-1,GOOD,
SUM_Reslice of nd820 crop.tif,820,Plst-1,GOOD,
SUM_Reslice of nd823 crop.tif,823,Plst-1,GOOD,
SUM_Reslice of nd824 crop.tif,824,Plst-1,GOOD,
SUM_Reslice of nd825 crop.tif,825,Plst-1,GOOD,
SUM_Reslice of nd829 crop.tif,829,Plst-1,GOOD,
SUM_Reslice of nd830 crop.tif,830,unknown,GOOD,
SUM_Reslice of nd831crop.tif,831,Plst-1,GOOD,
SUM_Reslice of nd848_crop.tif,848,Ect-2,GOOD,
SUM_Reslice of nd849 crop.tif,849,Ect-2,GOOD,
SUM_Reslice of nd850 crop.tif,850,Ect-2,GOOD,
SUM_Reslice of nd851 crop.tif,851,Ect-2,GOOD,
SUM_Reslice of nd852 crop.tif,852,Ect-2,GOOD,
SUM_Reslice of nd853 crop.tif,853,unknown,GOOD,
SUM_Reslice of nd868 crop.tif,868,unknown,GOOD,
SUM_Reslice of nd869_crop.tif,869,unknown,GOOD,
SUM_Reslice of nd870 crop.tif,870,unknown,BAD,
SUM_Reslice of nd872_crop.tif,872,Ect-2,BAD,
SUM_Reslice of nd889 crop.tif,889,Spd-1,GOOD,
SUM_Reslice of nd890 crop.tif,890,Spd-1,GOOD,
SUM_Reslice of nd891 crop.tif,891,Spd-1,GOOD,
SUM_Reslice of nd892 crop.tif,892,Spd-1,GOOD,
SUM_Reslice of nd893 crop.tif,893,unknown,GOOD,
SUM_Reslice of nd894 crop.tif,894,unknown,GOOD,Needs to be re-trimmed (to do later)
SUM_Reslice of nd895 crop.tif,895,unknown,GOOD,
SUM_Reslice of nd896 crop.tif,896,unknown,GOOD,
SUM_Reslice of nd897 crop.tif,897,unknown,GOOD,
SUM_Reslice of nd899 crop.tif,899,Act-2,GOOD,
SUM_Reslice of nd900 crop.tif,900,Act-2,GOOD,
SUM_Reslice of nd914_crop.tif,914,Act-2,GOOD,
SUM_Reslice of nd915 crop.tif,915,Act-2,GOOD,
SUM_Reslice of nd918 crop.tif,918,unknown,GOOD,
SUM_Reslice of nd919 crop.tif,919,unknown,GOOD,
SUM_Reslice of nd921_crop.tif,921,unknown,GOOD,
SUM_Reslice of nd922 crop.tif,922,Spd-1,GOOD,
SUM_Reslice of nd924 crop.tif,924,Arx-2,GOOD,
SUM_Reslice of nd925 crop.tif,925,unknown,BAD,
SUM_Reslice of nd926 crop.tif,926,Arx-2,GOOD,
SUM_Reslice of nd928 crop.tif,928,unknown,BAD,
SUM_Reslice of nd929 crop.tif,929,Arx-2,GOOD,
SUM_Reslice of nd931 crop.tif,931,Arx-2,GOOD,
SUM_Reslice of nd935_crop.tif,935,unknown,BAD,
SUM_Reslice of nd936 crop.tif,936,unknown,GOOD,
SUM_Reslice of nd938 crop.tif,938,Arx-2,GOOD,
SUM_Reslice of nd939 crop.tif,939,Arx-2,GOOD,
SUM_Reslice of nd940 crop.tif,940,Arx-2,GOOD,
SUM_Reslice of nd941 crop.tif,941,Arx-2,GOOD,
SUM_Reslice of nd942 crop.tif,942,Arx-2,GOOD,
SUM_Reslice of nd943 crop.tif,943,Arx-2,GOOD,
SUM_Reslice of nd944 crop.tif,944,Arx-2,GOOD,
SUM_Reslice of nd945 crop.tif,945,unknown,BAD,
SUM_Reslice of nd946 crop.tif,946,Spd-1,GOOD,
SUM_Reslice of nd948 crop.tif,948,Spd-1,GOOD,
SUM_Reslice of nd949 crop.tif,949,Spd-1,BAD,
SUM_Reslice of nd950 crop.tif,950,Spd-1,GOOD,
SUM_Reslice of nd951 crop.tif,951,Spd-1,GOOD,
SUM_Reslice of nd952 crop.tif,952,Spd-1,BAD,
SUM_Reslice of nd953 crop.tif,953,Arx-2,GOOD,
SUM_Reslice of nd954 crop.tif,954,Act-2,BAD,
SUM_Reslice of nd955 crop.tif,955,Act-2,GOOD,
SUM_Reslice of nd956 crop.tif,956,Act-2,GOOD,
Something,331,Zen-4,BAD,
Something,751,Rga,GOOD,
Something,752,Rga,GOOD,
Something,753,Rga,GOOD,
Something,765,Rga,GOOD,
Something,780,Rga,GOOD,
Something,960,Rga,GOOD,
Something,961,Rga,GOOD,
Something,962,Rga,GOOD,
Something,963,Rga,GOOD,
Something,964,Rga,GOOD,
Something,965,Rga,GOOD,
Something,968,Rga,GOOD,
Something,970,Rga,GOOD,
Something,971,Rga,GOOD,
Something,972,Rga,GOOD,
